지역,업종,2019년 상반기,,2019년 하반기,
,,월평균매출,건단가,월평균매출,건단가
서울특별시,종합소매점,"7,509","8,482","7,914","8,174"
종로구,종합소매점,"4,981","7,970","5,346","7,672"
중구,종합소매점,"4,625","8,942","4,927","8,557"
용산구,종합소매점,"8,160","8,769","8,602","8,331"
성동구,종합소매점,"9,059","7,867","9,915","7,817"
광진구,종합소매점,"8,254","8,008","8,716","7,822"
동대문구,종합소매점,"5,688","9,685","6,024","9,622"
중랑구,종합소매점,"6,291","9,022","6,612","8,957"
성북구,종합소매점,"7,213","9,152","7,524","8,676"
강북구,종합소매점,"6,462","9,135","6,921","8,931"
도봉구,종합소매점,"6,016","8,902","6,164","8,595"
노원구,종합소매점,"7,750","8,264","8,084","8,003"
은평구,종합소매점,"7,862","9,292","8,195","8,860"
서대문구,종합소매점,"7,517","8,797","7,492","8,482"
마포구,종합소매점,"9,179","7,696","9,777","7,381"
양천구,종합소매점,"9,268","8,869","9,705","8,486"
강서구,종합소매점,"8,510","8,769","8,984","8,409"
구로구,종합소매점,"6,562","8,663","6,864","8,330"
금천구,종합소매점,"6,809","7,704","7,130","7,380"
영등포구,종합소매점,"6,684","8,450","6,943","8,043"
동작구,종합소매점,"8,352","8,518","8,971","8,481"
관악구,종합소매점,"8,660","8,059","9,048","7,756"
서초구,종합소매점,"9,089","7,989","9,497","7,602"
강남구,종합소매점,"9,865","7,626","10,588","7,239"
송파구,종합소매점,"8,996","8,666","9,501","8,329"
강동구,종합소매점,"7,573","9,288","8,201","9,036"
