"행정구역","2018년06월_총인구수","2018년06월_세대수","2018년06월_세대당 인구","2018년06월_남자 인구수","2018년06월_여자 인구수","2018년06월_남여 비율"
"서울특별시 영등포구 (1156000000)","369,003","169,264","          2.18","183,888","185,115","          0.99"
"서울특별시 영등포구 영등포본동(1156051500)","22,594","10,148","          2.23","11,506","11,088","          1.04"
"서울특별시 영등포구 영등포동(1156053500)","24,653","15,576","          1.58","13,648","11,005","          1.24"
"서울특별시 영등포구 여의동(1156054000)","33,424","12,727","          2.63","15,801","17,623","          0.90"
"서울특별시 영등포구 당산제1동(1156055000)","20,809","10,191","          2.04","10,295","10,514","          0.98"
"서울특별시 영등포구 당산제2동(1156056000)","35,700","16,905","          2.11","16,847","18,853","          0.89"
"서울특별시 영등포구 도림동(1156058500)","19,210","9,300","          2.07","9,694","9,516","          1.02"
"서울특별시 영등포구 문래동(1156060500)","31,861","12,317","          2.59","15,775","16,086","          0.98"
"서울특별시 영등포구 양평제1동(1156061000)","17,420","8,381","          2.08","8,710","8,710","          1.00"
"서울특별시 영등포구 양평제2동(1156062000)","22,764","9,841","          2.31","11,370","11,394","          1.00"
"서울특별시 영등포구 신길제1동(1156063000)","17,517","9,541","          1.84","8,842","8,675","          1.02"
"서울특별시 영등포구 신길제3동(1156065000)","16,167","7,022","          2.30","8,066","8,101","          1.00"
"서울특별시 영등포구 신길제4동(1156066000)","9,518","4,363","          2.18","4,798","4,720","          1.02"
"서울특별시 영등포구 신길제5동(1156067000)","10,286","4,612","          2.23","4,988","5,298","          0.94"
"서울특별시 영등포구 신길제6동(1156068000)","18,612","8,238","          2.26","9,234","9,378","          0.98"
"서울특별시 영등포구 신길제7동(1156069000)","17,186","6,560","          2.62","8,597","8,589","          1.00"
"서울특별시 영등포구 대림제1동(1156070000)","13,545","6,401","          2.12","6,830","6,715","          1.02"
"서울특별시 영등포구 대림제2동(1156071000)","12,885","6,508","          1.98","6,300","6,585","          0.96"
"서울특별시 영등포구 대림제3동(1156072000)","24,852","10,633","          2.34","12,587","12,265","          1.03"
