"행정구역","2020년08월_총인구수","2020년08월_세대수","2020년08월_세대당 인구","2020년08월_남자 인구수","2020년08월_여자 인구수","2020년08월_남여 비율"
"서울특별시 송파구 (1171000000)","671,312","281,361","          2.39","324,134","347,178","          0.93"
"서울특별시 송파구 풍납1동(1171051000)","14,200","6,465","          2.20","6,999","7,201","          0.97"
"서울특별시 송파구 풍납2동(1171052000)","25,721","11,126","          2.31","12,230","13,491","          0.91"
"서울특별시 송파구 거여1동(1171053100)","13,008","5,605","          2.32","6,642","6,366","          1.04"
"서울특별시 송파구 거여2동(1171053200)","18,852","8,018","          2.35","9,262","9,590","          0.97"
"서울특별시 송파구 마천1동(1171054000)","20,026","8,996","          2.23","10,239","9,787","          1.05"
"서울특별시 송파구 마천2동(1171055000)","19,696","8,833","          2.23","10,008","9,688","          1.03"
"서울특별시 송파구 방이1동(1171056100)","16,288","6,323","          2.58","7,835","8,453","          0.93"
"서울특별시 송파구 방이2동(1171056200)","26,215","14,446","          1.81","12,373","13,842","          0.89"
"서울특별시 송파구 오륜동(1171056600)","18,651","5,960","          3.13","9,186","9,465","          0.97"
"서울특별시 송파구 오금동(1171057000)","40,419","15,912","          2.54","19,606","20,813","          0.94"
"서울특별시 송파구 송파1동(1171058000)","25,054","12,411","          2.02","11,756","13,298","          0.88"
"서울특별시 송파구 송파2동(1171059000)","20,649","7,586","          2.72","9,939","10,710","          0.93"
"서울특별시 송파구 석촌동(1171060000)","32,990","17,116","          1.93","15,721","17,269","          0.91"
"서울특별시 송파구 삼전동(1171061000)","31,666","16,320","          1.94","14,995","16,671","          0.90"
"서울특별시 송파구 가락본동(1171062000)","27,245","11,970","          2.28","13,497","13,748","          0.98"
"서울특별시 송파구 가락1동(1171063100)","27,976","9,934","          2.82","13,585","14,391","          0.94"
"서울특별시 송파구 가락2동(1171063200)","33,196","12,363","          2.69","16,300","16,896","          0.96"
"서울특별시 송파구 문정1동(1171064100)","20,875","8,570","          2.44","10,294","10,581","          0.97"
"서울특별시 송파구 문정2동(1171064200)","29,707","15,570","          1.91","13,746","15,961","          0.86"
"서울특별시 송파구 장지동(1171064600)","30,650","12,224","          2.51","14,810","15,840","          0.93"
"서울특별시 송파구 위례동(1171064700)","28,372","9,156","          3.10","13,814","14,558","          0.95"
"서울특별시 송파구 잠실본동(1171065000)","28,835","15,460","          1.87","13,637","15,198","          0.90"
"서울특별시 송파구 잠실2동(1171067000)","36,422","11,949","          3.05","17,399","19,023","          0.91"
"서울특별시 송파구 잠실3동(1171068000)","35,472","12,163","          2.92","16,878","18,594","          0.91"
"서울특별시 송파구 잠실4동(1171069000)","21,897","7,451","          2.94","10,562","11,335","          0.93"
"서울특별시 송파구 잠실6동(1171071000)","17,216","5,965","          2.89","8,157","9,059","          0.90"
"서울특별시 송파구 잠실7동(1171072000)","10,014","3,469","          2.89","4,664","5,350","          0.87"
