지역,행정동코드,남자인구수,여자인구수,1인세대,2인세대,3인세대,4인세대,5인세대,0~9세,10~19세,20~29세,30~39세,40~49세,50~59세,60~69세,70~79세,80~89세,90~99세,직장인구,주거인구,대규모점포인허가수,편의점수,편의점매출,폐업률,지하철역수,1층임대시세
종로구,11110,73062,76900,37503,14341,10697,8837,2364,8185,11918,28260,21719,23751,26807,20050,12677,5831,1055,236607.9473,152009.8793,23,347,2480487459,68,11,207758
중구,11140,61651,64339,31643,13498,9121,6839,1660,7639,7628,21809,22296,19779,22495,17865,10726,4731,864,335125.8512,124842.5916,63,450,1938144855,40.5,14,252706
용산구,11170,110403,118959,53405,23093,17159,13372,3444,15265,17019,36195,42354,39125,38792,28862,17384,8411,1590,180858.8667,232340.0535,21,303,2465645424,27.2,13,137149
성동구,11200,144701,151482,56420,29972,24552,19422,4264,21393,21149,48504,51211,46923,49097,36246,20625,8309,1150,82139.69109,306548.8058,22,318,2600653404,32.3,16,121610
광진구,11215,168472,180175,76534,34026,26435,22936,4902,21340,27305,67609,59631,55182,57924,42519,22348,8598,1257,78393.43119,337776.2276,27,388,2553481800,66,9,118571
동대문구,11230,170926,173724,78266,33984,26184,21335,5158,21886,25147,65016,53080,52664,55230,46115,28170,11179,1591,78682.89103,334338.1458,34,386,2092341594,50.4,7,114777
중랑구,11260,195931,199857,77396,42377,31588,24642,5790,23988,27733,57116,59608,59095,70915,56852,31006,11334,1569,39778.16108,400816.3356,16,311,2136042448,56,11,95238
성북구,11290,212559,227836,77396,41884,35441,31054,7217,30395,38926,72981,63037,72241,70483,54239,33774,13854,1984,110056.5474,419276.3343,44,356,2515794780,50,11,111096
강북구,11305,151376,159179,61479,34556,24953,18768,4518,16834,22877,44359,40680,48595,53892,45337,29986,11122,1467,28204.87705,313677.6553,25,272,1770980367,57.2,11,99833
도봉구,11320,160089,167925,46140,34302,28278,23352,5376,19814,26587,44992,42735,50074,58107,48828,27542,11264,1629,36095.57517,330489.5707,16,232,2320540544,23.8,5,100812
노원구,11350,254463,272255,70945,49730,44406,41982,8733,34941,55046,75765,67261,88672,88811,66652,37222,16001,2397,56663.49722,532445.6002,25,356,2407233880,38,13,136712
은평구,11380,231508,250221,79784,49503,39388,31859,7786,30994,39715,67294,70240,78157,77902,63029,38857,15261,2075,46677.54022,454055.9228,34,374,2321847136,81.6,11,110909
서대문구,11410,149803,162829,61198,30545,24575,20711,4830,20805,24930,56034,47090,49044,50496,38320,24602,11015,1603,67396.12031,314292.1533,12,326,1881236812,29.4,7,130370
마포구,11440,176174,197446,81156,36658,28568,24268,5371,26218,29525,66271,67569,63151,55394,39401,24650,10828,1622,138540.4944,302764.9502,29,543,2420385936,62.4,15,146291
양천구,11470,224271,232709,52468,39088,38643,39063,8246,33099,51568,61331,60458,80850,77951,56450,27988,10494,1671,135994.3762,446324.0309,26,318,2498737428,63,7,118804
강서구,11500,282647,302273,107620,59609,46970,39512,9097,42273,46228,88166,102582,93524,89165,75698,38516,14403,2419,144229.2766,569779.7711,34,572,3005309100,46,17,129933
구로구,11530,200251,205244,68192,41158,32729,27843,6570,31349,31538,57906,69640,69788,74006,58281,31515,11056,1460,140201.3449,397702.7436,51,369,2186543895,33,10,125076
금천구,11545,117497,114516,52320,24765,17378,13770,3348,14517,15628,37816,38806,37046,47228,34260,17969,6290,820,130205.6856,239697.158,29,303,1759591150,13,3,123501
영등포구,11560,185603,189530,84507,36497,28444,23612,5208,27528,25427,60160,73224,61745,67471,49574,27149,11062,1542,453467.3013,415344.958,42,530,2808615960,23.4,15,124311
동작구,11590,190754,203364,80504,38324,30910,26154,5940,26139,29069,71224,65149,61298,61333,49314,29608,11581,1750,72611.80317,370695.8228,19,341,2272617375,39,11,139489
관악구,11620,250520,248796,157514,50306,32489,25540,6058,24573,30328,112950,91661,72215,73133,59888,36974,12607,1673,72851.72406,497419.0576,25,459,3358062330,54.6,4,124519
서초구,11650,204280,222957,59312,34979,34214,34591,8153,35283,45642,56849,66465,79028,63658,47389,27178,9538,1812,568361.4044,417053.6445,31,518,3067778520,48.6,17,138477
강남구,11680,258407,281741,93397,44204,41235,42381,9350,37895,59493,76459,85461,100336,80573,58529,33556,11373,2199,1158467.279,561241.3527,54,951,4089249802,96.8,26,171681
송파구,11710,324134,347178,97868,59598,55402,52580,11465,52459,60203,96080,114622,110971,105028,82697,39523,13773,2426,403558.0241,682002.6421,46,644,4128374682,105.3,18,148293
강동구,11740,225103,232227,67911,43223,37911,34317,7670,35110,39643,61983,72779,74415,73890,61657,29875,10118,1835,72374.39868,403219.97,42,399,2383433172,72,10,125177
