CD,1Ãþ ÀÓ´ë½Ã¼¼
11110,207758
11110515,160242
11110530,200198
11110540,183892
11110550,104196
11110560,82299
11110570,162791
11110580,223640
11110600,150658
11110615,249923
11110630,255336
11110640,162176
11110650,164646
11110670,197134
11110680,90776
11110690,98319
11110700,100845
11110710,120870
11140,252706
11140520,221939
11140540,378616
11140550,257799
11140570,159193
11140580,114518
11140590,203825
11140605,186177
11140615,367247
11140625,121953
11140635,167356
11140645,103145
11140650,129345
11140665,118512
11140670,143028
11140680,136658
11170,137149
11170510,110670
11170520,104591
11170530,120790
11170555,133706
11170560,100664
11170570,107100
11170580,135502
11170590,101189
11170625,142638
11170630,301294
11170640,70071
11170650,199088
11170660,127369
11170685,135270
11170690,62635
11170700,111432
11200,121610
11200520,113212
11200535,125761
11200540,127874
11200550,140472
11200560,141291
11200570,129507
11200580,139653
11200590,125042
11200615,126159
11200620,121639
11200645,164465
11200650,120978
11200660,124653
11200670,93779
11200690,108298
11200720,82140
11200790,125259
11215,118571
11215710,157380
11215730,110375
11215740,86663
11215750,90423
11215760,94090
11215770,108720
11215780,134995
11215810,140039
11215820,121920
11215830,85428
11215840,124891
11215847,148193
11215850,108732
11215860,118544
11215870,134399
11230,114777
11230536,103155
11230545,137237
11230560,98157
11230570,122622
11230600,129713
11230610,98418
11230650,97830
11230660,114050
11230705,88812
11230710,135466
11230720,156739
11230730,108469
11230740,141471
11230750,86038
11260,95238
11260520,89245
11260540,71150
11260550,71432
11260565,95040
11260570,116040
11260575,95767
11260580,96036
11260590,109255
11260600,79493
11260610,103687
11260620,119657
11260630,84731
11260655,84079
11260660,68510
11260680,99522
11260690,128149
11290,111096
11290525,139800
11290555,116038
11290575,171469
11290580,82975
11290590,115874
11290600,134392
11290610,90104
11290620,99725
11290630,91397
11290640,80501
11290650,107430
11290660,164501
11290685,140956
11290705,96620
11290715,97281
11290725,105170
11290760,61785
11290770,79768
11290780,95326
11290810,94920
11305,99833
11305534,84721
11305535,109104
11305545,119842
11305555,90665
11305575,127057
11305590,95557
11305600,70717
11305606,97154
11305610,99017
11305620,80314
11305630,121017
11305645,80774
11305660,65162
11320,100812
11320511,100710
11320512,90065
11320513,79993
11320514,173094
11320515,132260
11320521,90325
11320522,101683
11320660,70214
11320670,94134
11320680,121258
11320681,114171
11320690,103418
11320700,85839
11320710,85367
11350,136712
11350560,138209
11350570,88552
11350580,190722
11350595,111611
11350600,120824
11350611,100393
11350612,174586
11350619,128484
11350621,228056
11350624,152226
11350625,176838
11350630,124155
11350640,151049
11350665,90160
11350670,102078
11350695,198330
11350700,163237
11350710,204162
11350720,188675
11380,110909
11380510,104302
11380520,128478
11380530,144442
11380551,109995
11380552,111055
11380560,103211
11380570,123595
11380580,114290
11380590,94917
11380600,109235
11380625,96218
11380631,93252
11380632,84341
11380640,104629
11380650,80087
11380690,124679
11410,130370
11410520,133552
11410555,134726
11410565,114423
11410585,187060
11410615,94928
11410620,156304
11410640,120613
11410655,115926
11410660,85653
11410685,100239
11410690,133985
11410700,117254
11410710,111765
11410720,100277
11440,146291
11440555,159789
11440565,98573
11440585,151398
11440590,163062
11440600,160796
11440610,156230
11440630,112775
11440655,150010
11440660,167382
11440680,136834
11440690,146018
11440700,114986
11440710,134783
11440720,109252
11440730,123196
11440740,182696
11470,118804
11470510,167303
11470520,123602
11470530,129992
11470540,109560
11470550,225344
11470560,83042
11470570,85564
11470580,83498
11470590,84868
11470600,82168
11470610,86665
11470611,89006
11470620,110205
11470630,104776
11470640,142228
11470650,106319
11470670,204418
11470680,138659
11500,129933
11500510,103649
11500520,124093
11500530,86348
11500535,149161
11500540,103564
11500550,84558
11500560,125647
11500570,124228
11500590,107019
11500591,98422
11500593,141799
11500603,206388
11500604,157863
11500605,143167
11500611,130124
11500615,141462
11500620,101476
11500630,142739
11500640,85806
11500641,138970
11530,125076
11530510,127137
11530520,162310
11530530,121898
11530540,172368
11530550,145626
11530560,101415
11530595,128673
11530720,151326
11530730,91993
11530740,91468
11530750,118448
11530760,93711
11530770,149505
11530780,107969
11530790,95966
11545,123501
11545510,166558
11545610,109787
11545620,94324
11545630,93418
11545640,107298
11545670,136440
11545680,152894
11545690,110290
11545700,99453
11545710,110252
11560,124311
11560515,89692
11560535,136441
11560540,204094
11560550,107130
11560560,158043
11560585,99885
11560605,106184
11560610,94279
11560620,114266
11560630,129279
11560650,89922
11560660,52660
11560670,99342
11560680,102609
11560690,117875
11560700,108577
11560710,149784
11560720,95373
11590,139489
11590510,173989
11590520,149362
11590530,117707
11590540,132651
11590550,157731
11590560,112427
11590605,135996
11590620,120344
11590630,182644
11590640,125161
11590650,175360
11590651,86960
11590660,112480
11590670,118103
11590680,160773
11620,124519
11620525,103544
11620545,75670
11620565,111480
11620575,113750
11620585,137546
11620595,130694
11620605,138511
11620615,115033
11620625,139326
11620630,158590
11620645,155004
11620655,125867
11620665,97431
11620685,132995
11620695,161686
11620715,105507
11620725,102115
11620735,115241
11620745,74483
11620765,105343
11620775,128676
11650,138477
11650510,128043
11650520,191125
11650530,142860
11650531,174247
11650540,132407
11650550,117101
11650560,155522
11650570,295833
11650580,224457
11650581,182582
11650590,122414
11650600,133015
11650610,124352
11650620,114923
11650621,121448
11650651,136925
11650652,93580
11650660,154196
11680,171681
11680510,173290
11680521,159334
11680531,140442
11680545,203676
11680565,167299
11680580,181339
11680590,172438
11680600,278364
11680610,177188
11680630,201765
11680640,169188
11680650,193215
11680655,177980
11680656,191104
11680660, 
11680670,157113
11680690,88367
11680700,146949
11680720,199699
11680730,131773
11680740,156133
11680750,184392
11710,148293
11710510,87904
11710520,113474
11710531,97746
11710532,111590
11710540,99137
11710550,125973
11710561,129212
11710562,144311
11710566,345767
11710570,104174
11710580,123838
11710590,108827
11710600,147191
11710610,142871
11710620,143558
11710631,169185
11710632,115464
11710641,102419
11710642,207509
11710646,127557
11710647,206886
11710650,166724
11710670,451144
11710680,252070
11710690,336928
11710710,199164
11710720,168896
11740,125177
11740515,217976
11740520,124857
11740530,115613
11740540,143253
11740550,134010
11740560,216979
11740570,107218
11740580,134084
11740590,116392
11740600,111019
11740610,123504
11740620,144388
11740640,126344
11740650,97042
11740660,136060
11740685,115506
11740690, 
11740700,98771
