지역,행정동코드,남자 인구수,여자 인구수
종로구,11110,"73,062","76,900"
중구,11140,"61,651","64,339"
용산구,11170,"110,403","118,959"
성동구,11200,"144,701","151,482"
광진구,11215,"168,472","180,175"
동대문구,11230,"170,926","173,724"
중랑구,11260,"195,931","199,857"
성북구,11290,"212,559","227,836"
강북구,11305,"151,376","159,179"
도봉구,11320,"160,089","167,925"
노원구,11350,"254,463","272,255"
은평구,11380,"231,508","250,221"
서대문구,11410,"149,803","162,829"
마포구,11440,"176,174","197,446"
양천구,11470,"224,271","232,709"
강서구,11500,"282,647","302,273"
구로구,11530,"200,251","205,244"
금천구,11545,"117,497","114,516"
영등포구,11560,"185,603","189,530"
동작구,11590,"190,754","203,364"
관악구,11620,"250,520","248,796"
서초구,11650,"204,280","222,957"
강남구,11680,"258,407","281,741"
송파구,11710,"324,134","347,178"
강동구,11740,"225,103","232,227"
